Movie Name,Storyline
Nova & Alice,Nova and Alice are two contrasting artists who are reluctantly forced to go on a joint tour by their manager. The clash is inevitable - both musically and personally.
"It's So Big It Hurts, Black Oppa","Two women fall in love with the charms of a black guy. It hurts a lot at first, but as time goes on, they fall into ecstatic excitement."
Celestina: Burlesk Dancer,"Set in the Philippines during the 1940's, Celestina is a story about a woman, a burlesk dancer, who struggles to provide for her family while her husband is a gambling and womanizing drunkard. Despite the hardships, Celestina perseveres and finds strength in her love for her son."
Andhakaara,"Forced into a passenger's criminal web, a disabled taxi driver finds himself caught between a ruthless woman and the mobsters hunting her down."
76 Days Adrift,"After a whale hits his boat, Steven Callahan survives 76 days alone on a life raft crossing the Atlantic. His bestselling story ""Adrift"" comes alive through vintage footage, photos, and recreations."
Final Girl: Halloween,After surviving a brutal murder of her friends Erin must navigate life as the sole survivor while she tries to figure out who the killer is.
Mobile Suit Gundam SEED Freedom,"Lacus Clyne becomes president of a peace monitoring organization, but things are not quite what they seem."
Wineville,"A woman who fled her abusive father's vineyard as a teenager returns after his death. She uncovers the family's dark secrets, which have festered, leading to violence and death, as she settles the estate."
Gatao: Like Father Like Son,Ambitious drug dealer Michael and his brother Scorpion find themselves drafted into their father's turf war as rival gangs compete in Dingzhuang.
Nearing Death,Torment near death that is difficult to ward off with prayer terrorizes a family. What sin did they commit?
Silvio,"During a kidnapping, television personality Silvio Santos must fight to protect his family and his legacy while facing one of the most challenging moments of his life."
Becoming Madonna,"Madonna's rise to fame from 1978 to 1992, exploring her personal life, controversies, and the challenges she faced during that period."
Deaner '89,"A hilarious headbanger finally makes it after struggling for decades, revealing it was all because of a childhood incident when the dark forces of heavy metal reached out from the grave."
Dilemma,"In the midst of global pandemic, a trending voice chat platform becomes a lifeline for a group of friends seeking connection and solace. Their lives take an unexpected turn overnight when a mysterious stranger enters their chat room."
Lantrani,The different segments of small towns and rural worlds where people take absurd measures to survive.
Black Eyed Susan,"Derek takes a job at a tech firm, developing an AI sex doll named Susan. As he explores the boundaries of desire, pleasure, and pain with Susan, he confronts profound questions about humanity in an uncertain future."
Never Have I Ever,"Sam, a struggling writer, faces pressure to repay an advance. His day spirals as he loses his wallet, experiences break-ins, and a chance encounter leads to unexpected events, further complicating his predicament and deadline."
My Boo,Very Thai and very romantic story about love between a boy and a ghost girl.
Demons at Dawn,"As the boys go against a diverse, ever-changing, hostile world, they'll learn that once the darkness of night is gone and through their intertwined bodies and their synchronized souls, they will have seen all those demons of dawn go by."
The Village Next to Paradise,"A newly formed family confronts challenges while pursuing individual goals and facing the intricacies of modern life, relying on love, trust, and resilience to guide them."
The Stoic,"It follows a group of mercenary leaders in a country retreat after pulling off a raid on a drugs gang. Things take a turn for the worse after they raise the attentions of 'The Stoic', a man from an ancient clan of smugglers."
Breakup Season,"A young man brings his girlfriend to his rural Oregon hometown to introduce her to his family, only for things to go terribly wrong upon arrival."
La coda del diavolo,"A prison guard monitors a man convicted of torturing and killing a teen girl. A mysterious symbol called ""devil's tail"" appears on his back, matching one found on another young victim."
Life After the NeverEnding Story,"A documentary celebrating The NeverEnding Story (1984) via cast and crew interviews, whilst exploring the lives of stars Noah Hathaway and Tami Stronach since those breakthrough roles."
Thesis on a Domestication,"A successful transgender actress and her lawyer husband decide to adopt a child, defying the conservative community in Argentina. But their attempt for a domestic happiness is thwarted when they visit the actress's hometown."
No Sleep Till,"In a coastal Florida town threatened by an impending hurricane, locals prepare for a mandatory evacuation. As the last tourists depart and residents board-up their homes, a few wanderers choose to remain."
Mi prima la sexóloga 2 (de la fantasía a la realidad),"Malena and Manuel have been dating for six months, so she decides it's time to move to the next level and create a Cousins Club where members will learn about sex."
Occupied,"America is no longer a sovereign nation, dual citizens control our government. We've been occupied. It's time for humanity to unite against our common enemy."
Clemente,"A chronicle of the life, career, and legacy of Roberto Clemente."
Sicilian Holiday,It folllows Mia and Nino. Mia is trying to find an escape from her unfulfilling life. Nino is a sculptor in his mid-thirties who comes to Mia's aid. Their relationship becomes complicated by the arrival of Nino's brother Phil.
Codename: Devil,"For 25 years the army was Max's only family. When he left, it seemed that nothing would fill the void. The veteran returns to his hometown and finds himself in the middle of a gang war."
Hunt the Wicked,"A detective and criminal mastermind clash in a dark city's underworld. Police and criminals converge as secrets unfold, leading to deadly confrontations. Both sides face crucial choices in the battle between law and crime."
Trisha on the Rocks,One fine night Trisha meets Vishal at a party. This meeting starts a super fun havoc with the cutest romance in their lives.
Ardaas Sarbat De Bhalle Di,"Gurmukh Singh and diverse individuals embark on a pilgrimage to Sri Hazur Sahib, and during their bus journey, their personal prayers become a shared Ardaas."
My First Girl Crush,"Ingrid, a shy teen, juggles the pressures of high school and her conservative Chinese-Australian family after falling for her best friend, Stella."
Devils Stay,"A heart specialist doubts his daughter's death after an exorcism, believing her heart still beats. Amid her three-day funeral, he and a priest clash over the truth, each trying to prove their stance and potentially save her life."
Pilot,"A story about a pilot who suddenly loses his job, then unexpectedly gets rehired with a new identity."
A Very Special Terrifier Christmas,"Fight off a killer winter and settle in by the fire with Art the Clown. Chestnuts are roasting, terror is toasting, and the screams create the perfect jolly ambient tone to relax to in this fireside special."
St. Vierja Academy,"The death of a school friend forces Toño to face the ghosts of his past while at the renowned ""St. Vierja Academy,"" one of Panama's most exclusive Catholic schools for boys during the 1970s."
Dying to Be Famous,"A social media influencer with a dark alternate personality, goes to extreme measures to achieve fame, unaware her success is entwined with her inner demons"
Texas Cult House,A group of high school friends party at an abandoned home once owned by a cult leader. Their night of teenage rebellion spirals into a deadly fight for survival.
Season of Love,"Sirin and Ali Yaman's adventure, which started in Bozcaada at a young age, becomes inextricable as the years progress. The seasons of love that they both feel at different moments never occur at the same time."
The Wingwalker,"A young widower is deported as his daughter is scheduled for a heart transplant, this will lead him to orchestrate the boldest border crossing plan in history."
My Driver & I,"A young woman bonds with her driver in Jeddah over shared dreams, unknowingly mirroring his struggles leaving family behind in Sudan while navigating Saudi's restrictions on women."
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,Babezilla has met her match with MechaBabezilla and the Cyber Skanks. Now she must train with Master Beta to learn a new technique to defeat MechaBabezilla.
Female 4,"In a peaceful battery goli, where everyone took an oath not to fight amongst themselves, chaos ensues as another Female hops into the scene."
Vivekanandan Viralaanu,A seemingly normal person's dual life is upended when he becomes infamous overnight. He struggles to reconcile his new public persona with his true self.
Living Large,A 12 year-old boy was bullied for his weight and he tries to turn things around by dieting and attempting to win over the girl of his dreams.
Miki,"In the 1990s post-communist Slovakia, former woods worker Miki takes his chances to start doing business at a local level and climb up the ladder to become the biggest mafia boss in the country."
National Theatre Live: The Motive and the Cue,Explores acting giants Burton and Gielgud staged Hamlet on Broadway in 1964.
Banzo,"Plantation physician Afonso assigned to treat enslaved servants with fatal homesickness, Banzo, on an African island. Despite medical efforts, he struggles to heal their spirits on isolated hill, confronting existential challenge."
What Lives Here,A Junk removal company is lured to an out-of-state project by a real estate agent promising big buck to remove the contents of a mansion with a sinister past.
Dog Days,"The story of people connected through dogs at a veterinary hospital where there is no wind at all, getting to know each other, comforting each other, and sharing their hearts."
Stabat Mater,"A twenty-year-old mother named Clara struggles with her role, finding herself unfit. She resorts to unsavory jobs and decides to abandon her daughter Amanda."
The Pleasure Is Mine,What was at first a simple pursuit to regain stolen money becomes the chance for a dysfunctional family to finally reconcile.
Good Bad Things,"An entrepreneur with a physical disability reluctantly tries a dating app, leading him on a profound journey of love and self-discovery."
Guest from the Future,"Kolya Gerasimov is an ordinary guy: video games, rap and hanging out with friends. The last thing he worries about is the future. Until one day he himself enters the future. And not everything is easy there."
Kakuda,"This horror-comedy film follows a town trapped in time by a curse and 3 of its inhabitants face a ghost that makes them question superstition, tradition and love."
The Moromete Family 3: Father and Son,"The story of Niculae, Moromete's youngest son, who in the 1950s becomes an acclaimed young writer who lives his life and complicated love stories in a charged atmosphere tainted by suspicion."
The Jack in the Box Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon."
Festival of the Living Dead,"While attending a festival to commemorate the original zombie attack, Ash and her friends encounter the living dead and must fight back or be devoured."
And Their Children After Them,"In eastern France, two teenage cousins have the summer of their lives when they paddle a purloined canoe to the far shore of a lake."
Dandelion,"It follows a singer-songwriter in a downward spiral as she takes a last effort gig at a motorcycle rally in South Dakota where she meets Casey, a guitarist who walked away from his dream long ago."
Paradise,"When corrupt officials cover up the murder of Ella's father, she cuts a swath through the anachronistic underbelly of her small island town."
The Casagrandes Movie,"After a surprise family trip to Mexico derails Ronnie Anne's birthday plans, she is determined to prove she's old enough to do her own thing - even if it means confronting an ancient preteen demigod whose angst has apocalyptic potential."
God's Here,"In Granbury, TX, firefighter Jack Gilmore makes holiday memories with his son and not knowingly shares a final kiss with his wife. But when a runaway teen's car hits his wife's car, Jack grapples with his faith and the idea of forgiveness."
Suckers,"Seven social media stars eagerly wander into a glamorous Hollywood event, only to find themselves at the mercy of a vengeful vampire host."
Alter weißer Mann,"Heinz Heimlich fits the cliché of the so-called old white man. To get promoted, he pretends to be politically correct, but the facade falters when he invites his superiors to dinner at his house one evening."
Down the Rabbit Hole,"Raised in opulence and culture, 10-year-old Tochtli's lavish life contrasts with the darkness that seeps in from his father's criminal activities."
Dalia and the Red Book,"Dalia, the daughter of a famous writer who recently passed away, inherits the mission of finishing her father's novel. To do so, she must become part of the story and face its characters, all fighting to be the protagonist of the book."
Pierce,"When his dangerous older brother is released from prison, high school fencer Jie helps him, defying their mother's attempts to bury his existence."
The Burden of Nine Lives,"After witnessing his two closest cousins executed during a black market sale gone wrong, Jimmy Diaz, barely surviving the trap himself, dedicates his repeated chances at life to seeking vengeance."
Khadari,"Guru is a 23-year-old wrestling champion in college. Amrit, 22, captains the kho-kho team and loves Guru until learning of his history, angering her. Can she get past it?"
What We Wanted to Be,"A man and woman meet outside a movie theater, create a fantasy world in a café as a novelist and astronaut, meet every Thursday, fall in love, and must navigate reality"
All the President's Men,"All The President's Men: A six-part series exposing the Deep State's coordinated attack on Trump supporters, revealing untold stories of personal sacrifice, political corruption, and the fight to preserve American democracy."
Ayse,"Ayse lives with her brother Ridvan, who has down syndrome, on the outer edge of the ever-growing Istanbul, where the face has begun to change."
Corina,"Corina, a 20-year-old housebound woman, accidentally compromises her publishing company's famous book saga. To save her job and the company, she must overcome her fears and, aided by Carlos, embark on a journey to find a mysterious writer."
Unfruitful Times,"After a tragic miscarriage, Nimet -a middle aged woman- gets stuck in the conservative society in Istanbul while her beloved younger sister Öznur carries a burden of her own in the family, trying to struggle her own demons."
Lohusa,Lohusa tells the funny story of a mother and father trying to keep up with life during the first 40 days after birth.
Turn in the Wound,"A film exploring performance, poetry, and music amidst war. It examines the search for meaning and freedom in ongoing suffering and echoes of the past, focusing on people's experiences of oppression and military force."
Troubleshooters,"Two friends from Tirana attempt to solve a murder mystery at a Durrës resort while masquerading as wealthy men, encountering love interests, criminals, and self-doubt along the way as they navigate their first case as private detectives."
A Family Affair,Owners of a spiritual retreat risk losing property. Auction interrupts anniversary event. Misunderstandings with younger date and buyers occur. Family conflicts arise as they try to prevent foreclosure.
Graveyard Shark,"Renowned cryptid hunter Abby investigates the terrifying urban legend of the Graveyard Shark, a humanoid creature stalking its prey in Willsboro Point's graveyard. Teaming up with survivors, she uncovers the creature's dark origins."
Sakaratul Maut,"At a time when Pak Wiryo found it difficult to die because he had a 'hold', the children of his first wife and second wife were fighting over the inheritance."
A Widow Seduced,"A career-driven widow falls for a charming businessman that she meets online, only to discover that her new beau has a deadly secret."
The Great Ambition,"Follows the life of the great and popular political leader Enrico Berlinguer, who almost led Italy's Communist Party into power in 1978."
Dikkie Dik en de Verdwenen Knuffel,"In 'Tummy Tom and the Lost Teddy Bear' Tummy Tom discovers something shocking: Bear, his favorite cuddle toy, is missing and nowhere to be found. Luckily, his friend Cat Mouse is there to help, because Tummy Tom can't sleep without Bear. Many paws make light work, so they set off to find him and they have many exciting adventures on the way. An ordinary bed becomes a real trampoline, and outside you can walk along the washing line like a proper acrobat. Together they discover new places, like the meadow and the beach, and they come across other animals they have never met before. After a day full of fun and adventures, everything turns out alright in the end. They have not just found Bear, but they have also found lots of new friends along the way."
Year of the Widow,"A newly widowed woman embarks on a path of self-discovery, defying societal norms and embracing her newfound freedom."
Sci-Fi Vixens from Beyond,"A curious alien researcher arrives on Earth to study human behavior, becoming fascinated by the attractive space warriors and cosmic adventurers who protect our planet from otherworldly threats."
If I Tell You,"Set in the Iron Range area of Minnesota, the story follows Michael, 12, a happy, friendly kid, whose life is changed the night his mom comes home with a black eye and bruised lip."
Le choix,"Joseph Cross, a construction manager, drops everything to rush from the distant suburbs to a hospital. During the journey, Joseph tries to resolve emergency by telephone."
Pimpinero: Blood and Oil,"In the treacherous desert along the Colombia-Venezuela border, gasoline smugglers known as ""pimpineros"" risk their lives transporting illegal fuel across the harsh landscape."
Grave of the Fireflies,"Centers on the struggle of two orphaned Japanese children, 14 year-old Seita and his four year-old sister Setsuko, during World War II."
12 Gaun,"A son's quest for vengeance against a tyrannical village chief who murdered his parents. The chief rules through fear, oppressing villagers with his gang, forbidding escape. The son must confront the chief's ruthless reign to seek justice."
Article 20,"A prosecutor on his last case deals with a colleague to exonerate a suspect, making the law just."
Trans Memoria,"In an exploration of self-discovery, Victoria, Athena and Aamina navigate womanhood through loss and introspection, weaving past regrets and future aspirations in a poetic documentation of embracing true selves."
Spilt Milk,"11 year-old boy dreams of becoming a great detective like his TV hero Kojak. He sets up a private investigation with his best friend, but the disappearance of his older brother sets them off down a dark path."
Paranoia,"Lulu ends up in the hospital, and sees a girl crying for help. When Lulu awakes, the girl is gone. But from here everything changes in Lulu's life. It's like someone or something is following her."
Nokturno,It centers on a Filipino family and a daughter who lives overseas as they get haunted by a primal and supernatural curse.
War of the Worlds: Extinction,"When a rogue general from the planet Emios attacks Earth, a team of archeologists must track down an ancient artifact that can prevent extinction."
Blue,"Set on England's Southwest coast, the story follows a father-son pair of struggling fishermen, John Winter and Charlie. A huge loss in their lives leads to a confrontation with emotions neither are equipped to deal with."
Chanchal Haseena,"A College Queen Chanchal, in the past, now a young housewife trapped in monotony in the present. She embarks on a journey to get fit with the help of her gym trainer Sahil."
The Green Dinosaur,"When the world around him is mysteriously erased, a little green dinosaur travels through the pages of a comic book to bring color back to his home."
Taklee Genesis x Worlds Collide,"Haunted by her father's disappearance 30 years ago, Stella, returns to her hometown to care for her ill mother. One night, her dad contacts her via an old radio. Stella must time-travel to bring him back by activating the Taklee Genesis."
First Class: Full Speed!,"The plot follows rivals Beba (Rade Cosic) and Nemac (Miodrag Radonjic) as they race iconic Yugos, chasing the national championship and their dreams of Formula 1. However, racing isn't their only source of adrenaline."
Agathokakological,"Nisha gets frequent blackmail calls from a Pvt number and she ignores it. Initially, it looks like a blackmail attempt, but things take a different turn as Nisha gets into trouble regularly. SI Ajith, has to figure out who's behind this."
Woh Bhi Din The,"A renowned photojournalist returns to his alma mater as a guest speaker, reminiscing about his carefree school days and first love"
Satyabhama,"ACP Satyabhama investigates a missing person case, uncovering dark secrets across shadowy towns. Her past haunts her as she races to find the truth and redemption amidst the high-stakes investigation."
Sikaar,A Tea garden worker Sankar must apply his hunting skills when he travels from India to London so he may save his fiancé.
Obraz,A hunted child will find refuge in the house of the enemy. The host faces a terrible choice: save the child's life or risk losing his own family.
Bonus Trip,"Two FBI agents defy orders while investigating a case. They team up with a translator to rescue her father and expose a global conspiracy. Along the way, they face humorous situations, unexpected twists, and life-threatening dangers."
Om Bheem Bush,"Follows three scientists who come to a village to find a treasure, but things don't turn easy for them because there is black magic in that village."
Victoria må dø,"Hedvig and Henrik's new stepmother Victoria is annoying and constantly introducing new rules. Inspired by a comic book, they decide to hire a hitman to get rid of her, and end up persuading a very reluctant immigrant, Carl, to do the job."
Last Night at Terrace Lanes,"When a bloodthirsty cult invades a bowling alley on its final night of operation, a high schooler on a date from hell, must join forces with her survivalist dad to fend off the crazed murderers."
Raghu Thatha,"This is the hilarious story of a rebellious young woman, Kayalvizhi, who is forced to choose between principle and patriarchy."
Cesium Fallout,"In a Hong Kong recycling plant, a massive fire exposes a radiation crisis caused by illegal garbage smuggling. Government advisor, executive, and firefighters embark on a high-stakes mission to mitigate the disaster."
Made in England: The Films of Powell and Pressburger,"Features rare archival material from the personal collections of Powell, Pressburger and Scorsese."
Gaami,"Shankar, an amnesiac Aghori who suffers from the fear of touch, goes on a dangerous Himalayan trail in search of a mythical cure for his condition. What happens when his past uncovers the way for him?"
City of Oz,"In the heart of a deranged city named 'OZ', a young boy named Tanju finds himself hopelessly lost one fateful night. With nothing but the dimly lit, labyrinthine streets as his guide, he embarks on a quest to reunite with his mother."
Big City Greens the Movie: Spacecation,"After ruining his family's vacation before it can even begin, Cricket attempts to right his wrongs by volunteering his family for an experimental farming mission - in space."
Dilan 1983,"In 1983, Dilan reunites with his elementary school friends after a year and a half away and tries to impress a transfer student."
The Parades,"A mother searches for her missing son after a devastating calamity, only to realize that she has died and is now confined to a realm of restless spirits."
Rita,"A seven year old Rita and her five year old brother Lolo from a working class family as the whole country goes crazy over the European football championships, with Spain in the quarter-finals."
The Witness,"After seeing a government official commit murder in Iran, retired dance instructor Tarlan faces a choice: stay quiet under political pressure or risk everything to expose the truth."
0000 Kilometre,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.
Jenni,"Biopic based on the iconic Mexican-American singer-songwriter, actor, producer and women's rights activist, Jenni Rivera."
Prepare to Die,A young man trains in the ways of martial arts to seek vengeance on the corrupt landowner who murdered his family.
Jim's Story,A family living in the Jura mountains is torn apart following the return of the son's biological father.
Saint Nick of Bethlehem,"The original story about a man who lost his son, became Santa to many, reunites with his love, and brings hope to all. Distraught over losing his son, he finds closure and discovers a new purpose when he takes on the role of Santa Claus."
Havnaa,"Follows real-life happenings of Magne Havnaa, Norway's first cruiserweight boxing champion in 1990 by defeating American Richard Pultz. His brother Erling was a top-ranked kickboxer who later participated in Norway's largest robbery."
Unexposed,"After her marriage ends due to infidelity, Tracey Miller becomes a sleuth for cheating spouses, facing danger as she uncovers threats to her family."
Dogs of War,"The incredible story of Dave Tomkins, a small-time English criminal who rose from humble working-class origins to become a leading international arms dealer and mercenary."
Granny,"A man named Devin Clark is driving his vehicle in an isolated forest in Sweden, when his engine suddenly breaks down, stranding him. He is then captured by an evil demonic woman with a bloody baseball bat. Six years later, his footage was found."
Malaikottai Vaaliban,"Journey of Malaikottai Vaaliban, an undisputed warrior, transcends time and geographies, triumphing over every opponent he encounters."
War Game,"US officials simulate a coup post a disputed election. Insurgents take capitals, questioning the president's military control. Countering disinformation is vital, highlighting bipartisan defense of democracy."
Fakt Purusho Maate,"Patriarch resurfaces from the afterlife, disrupting his grandson's nuptials and upending the family dynamics with an unanticipated complication."
Fish Have No Psychiatrists: A Day with Andrei Codrescu,"FISH HAVE NO PSYCHIATRISTS: A DAY WITH ANDREI CODRESCU is a creative documentary collage hosted by Julian Semilian centering around the life and times of poet, novelist, NPR commentator and current Pushcart Prize award winner, Andrei Codrescu. From Dada to quadrupedalism, Andrei and others offer us odes to personal experiences and free-wheeling perspectives outwitting easy category, a playful paean countering totalitarianisms and other forms of functional fixedness."
Juliette in Spring,"A woman who returns to her hometown to spend time with her family as buried memories, unspoken truths and long-buried secrets bubble up to the surface"
Will You Marry Me,Brothers Sincere and Aaron quit they're dead end jobs and take on a life of crime in a hopes of making their lives that much better. Things move at a rapid pace and their lives spin out of control
Malês,"A couple about to get married is kidnapped from their homeland in Africa and brought to Brazil as slaves. Separated by fate, they both struggle to survive the horrors of slavery and become involved in the largest Brazilian slave uprising."
Jack in Time for Christmas,Jack Whitehall races against time to get from the US to the UK for Christmas. His frantic four-day journey involves various modes of transport and encounters with celebrity friends as he battles holiday chaos to reach home.
Skeletons in the Closet,"Haunted by a malevolent spirit since childhood, a desperate mother allows herself to become possessed in order to save the life of her terminally ill daughter."
Freedom Hair,"When a determined mother decides to start a natural-hair-braiding business to achieve financial independence, she must overcome unexpected obstacles imposed by a powerful cosmetology cartel and the state of Mississippi."
A Dog's Will 2,"After 20 years missing, João Grilo returns to Taperoá to join his old friend Chicó and, after his story of resurrection spreads, he is disputed as an electoral candidate by the two most powerful politicians in the city."
Power,"Driven to contain threats to social order, American policing has exploded in scope and scale over hundreds of years. Now, it can be described by one word: power."
My Friend an Delie,"Li Mo and Andre, who have different personalities, became close friends because of football, an accident caused Andre to disappear from Li Mo's memory along with his youth. Years later, Li Mo ""meet"" Andre on his way to father's funeral."
RRR: Behind & Beyond,"Delves into the making of S.S. Rajamouli's epic RRR. Through behind-the-scenes footage and interviews, it unveils the vision, challenges, and dedication behind this cinematic marvel."
Haunt Season,"A masked maniac targets cast members at a suburban Halloween haunt attraction, turning their staged injuries into gruesome real-life horrors. As the terror escalates, the lines between performance and reality blur."
Hit List,"Vijay's family is kidnapped by a masked assailant. He's forced to assassinate the kidnapper's rivals as part of a twisted revenge plot. As Vijay complies, he unravels the kidnapper's identity and motives."
The Goat,"Forced to marry one of the elders in her Egyptian village, 12-year-old Hadiya escapes, traversing across the desert in search of her father, with her family goat, who soon begins talking to her with the voice of her late mother."
The Wash,An enterprising man determined to stay afloat midst financial struggles by opening a racy car wash concept designed to pull in money with the help of his cousin Rell.
From Darkness to Light,"Explores Jerry Lewis' unreleased 1972 film ""The Day The Clown Cried"", its mysterious disappearance, and the search for footage. Includes interviews with Lewis' associates and previously unseen production content."
Saturn Return,"Late 1990s. Art and culture are in full swing in Granada. Against that background, an indie band is about to change the music scene in Spain. Just before creating their new album, the band is going through its worst possible moment."
Darling,"A tourist office employee, Raghav, inadvertently weds Anandhi while saving for his dream Paris honeymoon, resulting in a series of challenges he must confront."
Planet 7693,"Luka, an imaginative nine year old boy tries to heal the disrupted family relations with the special help of his strange and mysterious friend 7693."
Chuang Qian Ming Yue Guang,"A successful lawyer's secret romantic encounter takes a chaotic turn when a corpse unexpectedly appears in the hotel room, triggering a frantic attempt to cover up the situation."
Zero,"Two Americans end up in Dakar, Senegal with bombs strapped to their chests and ten hours to find out why."
The Legacy of Cloudy Falls,Following the eccentric tenants of a run-down apartment complex in Niagara Falls.
Saint Catherine,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.
Black Storm,"After reporting criminal leader Wei Tianlang, Gu Dahe's disappearance and his sister's suspicious death triggers Lei Yang, the criminal investigation unit captain, to step in and uncover the truth."
Darla in Space,A woman who owes the IRS $349K partners with a pleasure-giving sentient kombucha scoby called Mother to clear her debt. Will their unlikely alliance lead to salvation or damnation?
Dragon Ball Z Kai,"Son Goku and his friends must fight against Raditz, a space warrior who arrives planet Earth to conquer it and destroy human race."
A Long Road to Tao,"Inspired by a true story of best friends (Dayne and Lance) who mysteriously lose touch, then reunite when Dayne discovers that Lance is dying of AIDS. A journey ensues as spiritual enlightenment unfolds through sea, sand and nature, embracing acceptance of the inevitable death of his best friend and the rising of consciousness. A Long Road to Tao will encourage audiences to reach a depth of becoming water, facing fears and accepting the flow of love as love."
Sin instrucciones,"Leo is a single, womanizing guy who lives in a tiny beach town in the Canary Islands. One day one of his old flings, Julia, reappears, leaves an infant in his arms, and disappears the next morning."
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,"A Historical Movie Trilogy available in Hindi/Marathi on the life of Chhatrapati Sambhaji Maharaj. Part 1 highlights the attack on Burhanpur, Rajyabhishek and the Navy battle of Janjira."
Park,"A couple runs a DTH shop. After getting engaged, they're kidnapped by gangsters. Unknowingly entering a haunted park, they become possessed and must escape the spirits."
The Last Stand of Ellen Cole,Follow a nefarious land developer who gets more than he bargained for when he tries to intimidate an 80-year-old widow into abandoning her Montana ranch.
Girl in the Video,"Explores the tale of Mo, a widow who is doing her best to raise her two teenagers."
Brewster's Millions: Christmas,"Follows Morgan Brewster's quest to inherit her uncle's fortune before Christmas. Amid holiday chaos, she discovers love, faith, and family's importance through giving."
The Mohican,"A Corsican shepherd refuses to sell his coastal land to criminals. After severely injuring a mobster's son who tried to threaten him, he becomes the target of a ruthless manhunt."
Kangaroo,A newly transferred police officer Prithvi is assigned a missing case. It leads to other instances where he gets trapped and his life is at stake. Can Prithvi can solve the case while protecting his family?
Elli and Her Monster Team,All Elli wanted was a family to love. But finding one turns out to be a ghostly affair.
Aftermath,"After waking up in the middle of a forest with no memories, a young woman is targeted by mysterious strangers with a motive as unclear as her way back home."
A Circus Tale & a Love Song,"A romantic circus performer leaves Mexico seeking love, landing in New Orleans where he falls for an exotic dancer - but her possessive ex threatens their chance at happiness."
Stranded Pearl,"An island paradise, big business, complex characters, love and betrayal set the scene for this romantic adventure film. Story follows a woman who learns that life is not what it seems and a man who has closed himself off from the world."
Ernest Cole: Lost and Found,Follows Ernest Cole's journey as the first Black freelance photographer in apartheid South Africa.
Tycoon,"In Miami, Natalie Boyle accepts an offer from Leroy Blake to surrender her decisions for a year in return for money, not realizing the cost."
The American Backyard,"A troubled young man falls for an American military auxiliary after a single glance. A year later, he moves to the American Midwest to write his novel, next to the auxiliary's elderly mother's house, separated by a grim garden."
The Manifestation,"When a desperate day trader manifests a twin version of his wife to help him win trades, he soon discovers she may have a much darker agenda."
Light,"After crash-landing in an escape pod on a dark and misty planet, a mother is hunted by an alien creature which is drawn to the lights she must use to find her missing son."
Efsane,"There is a legend about a yoghurt recipe passed down from father to son. Since this does not happen, the family suffers a curse. An attempt is made to decide who among the twins deserves to learn the knowledge of the legend more."
Victory,"A high school dance duo and a soccer team on a remote island. Two girls create a cheer leading club to pursue their love of dance, but they soon find themselves enthusiastically cheering on the soccer team and the entire island."
Worlds Apart,"Makio Kodai, a shy 35-year-old novelist, takes in her 15-year-old niece Asa Takumi after Asa's parents die in a car accident. Despite Makio's difficulties with relationships, she and Asa begin living together, forming a bond."
Do You See What I See,"On her birthday, Mawar's dream, who was lonely and only accompanied by her boarding house friends, came true about the partner she dreamed of. However, after finding this partner, Mawar's behavior became increasingly strange."
Bangkok Breaking: Heaven and Hell,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner."
The Ark and the Darkness,"Noah's Ark withstands a global flood, corroborated by scientific evidence across disciplines. A team exposes the truth behind this ancient tale found in cultures worldwide, confirming the Biblical account."
Una Pequeña Confusion,"Two couples, Lola - Cuau and Iñigo - Majo, from different socioeconomic backgrounds, undergo artificial insemination procedures to conceive children, exploring their contrasting perspectives on parenthood."
Solitude,"A famous social media survivalist is cast for a popular television series about surviving in solitude, but survival turns to despair when she discovers a supernatural entity's presence."
Three,"TIffany and Jayson live a simple life until Jayson asks for a sexy 30th B-Day gift. He wants a 3-some with Tiffany and her lesbian BFF, Ashley. What seems like a dream for Jayson, leads to jealousy, betrayal and a trail of broken hearts"
The Ceremony Is About to Begin,"Madness, mayhem, and mummification rites ensue when a documentary filmmaker visits the rural commune of an ancient Egyptian inspired cult to interview its enigmatic leader."
Last Mile,"A cardboard box explodes on Black Friday, terrorizing the nation. Erena Funado, center director for Kanto distribution warehouse, must control the situation with Kou Nashimoto."
All for One,"Sara a young Morisco unmasks the three musketeers who protect the Queen of France, she decides to cling to these powerful women and their brilliant idea."
Nefarious,"A fast moving, funny and ultimately tragic European road movie about two hedonistic outlaws and their quest to open up a coffeeshop in Amsterdam."
Balestra,"A competitive fencer agrees to test an experimental device that lets her train within lucid dreams in which she meets a mysterious stranger who will upend her marriage, her psyche, and her path to Olympic gold."
Mabel,"Follows Callie, whose best friend is a potted plant named Mabel."
Free Falling,The perfect life of a strict and tough rhythmic gymnastics teacher of competition begins to escape out of her hands.
