Movie Name,Storyline,Cleaned_Storyline
Haikyu!! The Dumpster Battle,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round.",despite strong field karasuno high volleyball team advances past preliminary round harutaka tournament miyagi prefecture reach third round
An Ordinary Case,"A man is accused of murdering his wife. His lawyer must defend him against all odds, and especially against himself.",man accused murdering wife lawyer must defend odds especially
Captain Miller,A man leaves and turns against the British-led Indian military after witnessing atrocity.,man leaves turns british led indian military witnessing atrocity
Peter Five Eight,A seemingly glamorous real estate agent in a small mountain community is revealed to be an unhinged alcoholic with a dark secret when a charismatic man in black shows up one day at the behest of his shadowy boss.,seemingly glamorous real estate agent small mountain community revealed unhinged alcoholic dark secret charismatic man black shows one day behest shadowy boss
Duchess,"Follows a tough, working-class, petty criminal who morphs into an anti-heroine to be reckoned with in a murky underworld, in the treacherous world of diamond smuggling.",follows tough working class petty criminal morphs anti heroine reckoned murky underworld treacherous world diamond smuggling
Modi: Three Days on the Wing of Madness,"Through the streets of World War I Paris, Italian bohemian artist Modigliani attempts to outmaneuver bombs, policemen, girlfriends, and critics in a increasingly desperate search of a home for his art.",streets world war paris italian bohemian artist modigliani attempts outmaneuver bombs policemen girlfriends critics increasingly desperate search home art
Quisling: The Final Days,Five years of occupation during WW2 ends in Norway. Vidkun Quisling is in prison for treason and is to be held accountable for his actions. Can a priest help him find peace of mind? Can the traitor with big thoughts about himself repent?,five years occupation ww ends norway vidkun quisling prison treason held accountable actions priest help find peace mind traitor big thoughts repent
Robin and the Hoods,"For the tenacious 11-year-old Robin and her loyal band of friends 'The Hoods', the patch of overgrown scrubland at the end of their cul-de-sac is a magical kingdom.",tenacious year old robin loyal band friends hoods patch overgrown scrubland end cul de sac magical kingdom
Nobu,"Nobu examines culinary legend Nobuyuki Matsuhisa's empire, offering an intimate portrait of a man who has redefined global gastronomy.",nobu examines culinary legend nobuyuki matsuhisa empire offering intimate portrait man redefined global gastronomy
Nuked,"A group of friends gets together for a cannabis-infused, technology free, dinner party only to learn a bomb is headed right for them.",group friends gets together cannabis infused technology free dinner party learn bomb headed right
Daughters,"Four young girls prepare for a special Daddy/Daughter Dance with their incarcerated fathers as part of a unique fatherhood program in a Washington, D.C. jail.",four young girls prepare special daddy daughter dance incarcerated fathers part unique fatherhood program washington jail
Stripper Boyz,"Two best friends head to Vegas for a bachelor party with a twist: instead of hiring strippers, they decide to become them. Training with a real male revue troupe, they meet colorful characters on a wild, heartwarming journey.",two best friends head vegas bachelor party twist instead hiring strippers decide become training real male revue troupe meet colorful characters wild heartwarming journey
Escape from the 21st Century,"Three friends discover they have the power to travel back and forth 20 years with a sneeze. However, the future is not as good as they hoped, and they need to take on the responsibility of saving the world.",three friends discover power travel back forth years sneeze however future good hoped need take responsibility saving world
Escape,"A young man who wants to live in prison and will do whatever it takes to get there, raising questions such as if those who care about him will get to stop him from committing increasingly serious crimes.",young man wants live prison whatever takes get raising questions care get stop committing increasingly serious crimes
They Called Him Mostly Harmless,"A hiker found dead in Florida wilderness is identified by internet sleuths after 2 years. His identity triggers more questions as multiple hikers claim to have met him, but he never revealed his name.",hiker found dead florida wilderness identified internet sleuths years identity triggers questions multiple hikers claim met never revealed name
Tiempo de Pagar,"Richard, an Argentinian money exchanger who works at the Buenos Aires downtown, finds himself involved in a series of problems that lead him to a thrilling race against the clock.",richard argentinian money exchanger works buenos aires downtown finds involved series problems lead thrilling race clock
The Code,"Follows the misadventures of a sexless couple, as their relationship falls into shambles in the early part of the pandemic.",follows misadventures sexless couple relationship falls shambles early part pandemic
Arthur's Whisky,Three elderly ladies drink an elixir that makes them young again and soon discover that youth isn't all it's cracked up to be.,three elderly ladies drink elixir makes young soon discover youth cracked
She's Got No Name,"A bizarre case caused thousands of waves. There are different opinions on the truth. When the whole story of the case was gradually restored like pieces of a puzzle, people realized that the truth was not that important anymore.",bizarre case caused thousands waves different opinions truth whole story case gradually restored like pieces puzzle people realized truth important anymore
Desert Road,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.,woman crashes car walks road help find matter way walks ends back crashed car
Los destellos,"Isabel's life takes an unexpected turn when her daughter Madalen asks her to take care of her father, Ramón, who is sick. After fifteen years without seeing her ex-husband Isabel will try to fulfill her mission with diligence and coldness.",isabel life takes unexpected turn daughter madalen asks take care father ramón sick fifteen years without seeing ex husband isabel try fulfill mission diligence coldness
Things Will Be Different,"In order to escape police after a robbery, two estranged siblings lie low in a farmhouse that hides them away in a different time. There they reckon with a mysterious force that pushes their familial bonds to unnatural breaking points.",order escape police robbery two estranged siblings lie low farmhouse hides away different time reckon mysterious force pushes familial bonds unnatural breaking points
